Object_ID,Funding Agency,Year,State,City,Grantee,Awarded Funds,Spent Funds (if applicable) ,"Classification 1: Project Type, primary code (a)","Classification 1: Project Type, primary code (b)","Classification 1: Project Type, primary code (c)","Classification 1: Project Type, secondary code (a)","Classification 1: Project Type, secondary code (b)","Classification 1: Project Type, secondary code (c)",Classification 2: Infrastructure type (I),Classification 2: Infrastructure type (II),Classification 3: Industrial Sector (i),Classification 3: Industrial Sector (ii),Project Title,Award ID,count,FIPS,fips2,County,PctPopChg_09to19,PctChange_MiningEmploy_09to15,mine emply bands,NewMineFlag_09to15,NonMiningFlag_09to15,ARC_Flag,Status,AvgUnempRate_3yr,PerCapMktInc,PovertyRt_5yr,AvgUnemp_PctOfUS_3yr,PCMI_pctOfUs,PovRt_PercOfUS,IndexValueRank,Quartile,EMPTHREEYEAR,UNEMPTHREEYEAR,BEAPOP,PoveryPop_5YrMean
11,ARC,2020,Alabama,Jasper,Bevill State Community College,1500000,,Education and Workforce Development,,,Infrastructure Investment;Training Program,,,Building Construction/Renovation,,Construction,,Rapid Training Center Expansion,ARC20C20066,1,1127,1127,Walker County,-0.052250719902123155,0.2785829307568438,0.2785829307568438,0,0,ARC,At-Risk,6.6,26300.0,21.5,136.0,61.4,147.7,2485.0,4.0,23751.0,1671.0,64058.0,13754.0
4,ARC,2017,Alabama,Jasper,Bevill State Community College,1920000,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,Multi-sector/multi-career prep,,Bevill State Community College POWER 2017 Initiative,,1,1127,1127,Walker County,-0.052250719902123155,0.2785829307568438,0.2785829307568438,0,0,ARC,Transitional,8.3,25993.0,23.0,115.2,68.2,147.7,2318.0,3.0,24041.0,2175.0,65471.0,14997.0
13,EDA,2015,Arizona,Window Rock,The Navajo Tribal Nation Government,147900,147900.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,078707273,1,4001,4001,Apache County,0.005159540255599989,0.0,0.0,0,1,,Distressed,18.5,14985.0,34.0,207.8,41.4,228.6,3097.0,4.0,18231.0,4126.0,73195.0,23909.0
17,EDA,2017,Arizona,Window Rock,The Navajo Tribal Nation Government,154016,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,077907426,1,4001,4001,Apache County,0.005159540255599989,0.0,0.0,0,1,,Distressed,17.9,16400.0,35.9,248.8,43.0,230.0,3101.0,4.0,18056.0,3942.0,71828.0,25330.0
19,EDA,2016,Arizona,Flagstaff,Coconino County,300000,300000.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Infrastructure Investment;Workforce Training Program Planning,,,Broadband,,undetermined/not specific,,,077907373,1,4005,4005,Coconino County,0.06736298643813095,0.0,0.0,0,1,,Transitional,8.6,29130.0,23.0,105.3,78.5,149.5,2151.0,3.0,66471.0,6224.0,136539.0,29171.0
22,EDA,2020,Arizona,Flagstaff,Northern Arizona University,350000,,Education and Workforce Development,,,Training Program,,,,,"farming, forestry",,,077907629,1,4005,4005,Coconino County,0.06736298643813095,0.0,0.0,0,1,,Transitional,6.0,38027.0,21.0,124.4,88.7,144.3,1896.0,3.0,69603.0,4452.0,140776.0,26719.0
21,EDA,2018,Arizona,Flagstaff,Hopi Tribe Economic Development Corporation,339572,,Business Development,,,Technical Assistance,,,,,undetermined/not specific,,,"077907460
",1,4005,4005,Coconino County,0.06736298643813095,0.0,0.0,0,1,,Transitional,7.3,33135.0,22.7,115.7,83.3,146.9,1999.0,3.0,66835.0,5229.0,139097.0,28824.0
12,EDA,2017,Arizona,Flagstaff,Hopi Tribe Economic Development Corporation,128805,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,077907421,1,4005,4005,Coconino County,0.06736298643813095,0.0,0.0,0,1,,Transitional,8.0,31769.0,23.8,110.5,83.3,152.6,2073.0,3.0,65682.0,5682.0,137682.0,30222.0
20,EDA,2019,Arizona,Tempe,Arizona State University,119146,,Leadership and community capacity development,,,Investment in Leadership/Community Resources,,,,,energy,,,"077907478

",1,4013,4013,Maricopa County,0.17507899286293818,0.0,0.0,0,1,,Transitional,5.1,36222.0,16.5,94.3,89.0,109.3,1242.0,2.0,1914900.0,103381.0,4242997.0,666513.0
14,EDA,2017,Arizona,Tempe,Arizona State University,99999,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning;Workforce Training Program Planning,,,,,undetermined/not specific,,,"077907424

",1,4013,4013,Maricopa County,0.17507899286293818,0.0,0.0,0,1,,Transitional,6.6,34302.0,17.1,91.6,90.0,109.7,1305.0,2.0,1795867.0,126871.0,4087191.0,666748.0
15,EDA,2019,Arizona,Kykotsmovi Village,Hopi Tribe,145241,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,multi-sector,,,"077907468

",1,4017,4017,Navajo County,0.03234092453163827,-0.05176470588235294,-0.05176470588235294,0,0,,Distressed,9.6,17296.0,29.9,176.7,42.5,197.9,3041.0,4.0,37243.0,3956.0,110026.0,31575.0
18,EDA,2017,Arizona,Kykotsmovi Village,Hopi Tribe,137000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,"077907423
",1,4017,4017,Navajo County,0.03234092453163827,-0.05176470588235294,-0.05176470588235294,0,0,,Distressed,13.0,16386.0,30.7,181.2,43.0,196.8,3059.0,4.0,36742.0,5514.0,108101.0,32138.0
16,EDA,2017,Arizona,Holbrook,Navajo County,104265,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,077907422,1,4017,4017,Navajo County,0.03234092453163827,-0.05176470588235294,-0.05176470588235294,0,0,,Distressed,13.0,16386.0,30.7,181.2,43.0,196.8,3059.0,4.0,36742.0,5514.0,108101.0,32138.0
23,EDA,2016,Arkansas,Paris,City of Paris,764900,722280.0,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,undetermined/not specific,,,087905135,1,5083,5083,Logan County,-0.039681474522435464,0.0,0.0,0,1,,At-Risk,8.0,19197.0,17.6,98.5,51.7,114.3,2348.0,4.0,8837.0,769.0,22082.0,3800.0
26,EDA,2017,Colorado,Delta,Technical College of the Rockies,680000,,Business Development,,,Entrepreneurial Support,,,,,multi-sector,,,057905878,1,8029,8029,Delta County,0.006784698888601706,-0.37898089171974525,-0.37898089171974525,0,0,,Transitional,8.3,25307.0,16.2,115.0,66.4,104.2,1942.0,3.0,12833.0,1159.0,29870.0,4738.0
31,EDA,2019,Colorado,Rifle (Colorado),Associated Governments of Northwest Colorado,200000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,057905935,1,8045,8045,Garfield County,0.06511908350919506,-0.8888888888888888,-0.8888888888888888,0,0,,Competitive,4.3,49394.0,11.1,79.7,121.4,73.5,368.0,1.0,29542.0,1338.0,58887.0,6274.0
30,EDA,2016,Colorado,Gunnison,Western State University,576271,502584.0,Business Development,,,Technical Assistance;Entrepreneurial Support,,,,,undetermined/not specific,,,057905835,1,8051,8051,Gunnison County,0.13951970764813365,-0.49867021276595747,-0.49867021276595747,0,0,,Transitional,6.3,32698.0,17.7,78.1,88.1,115.2,1288.0,2.0,8374.0,567.0,15507.0,2545.0
24,EDA,2015,Colorado,Craig,Moffat County,50000,50000.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,058605789,1,8081,8081,Moffat County,-0.037114896701703516,-0.22310756972111553,-0.22310756972111553,0,0,,Transitional,8.7,39607.0,12.0,98.0,109.3,80.9,842.0,2.0,7690.0,733.0,13200.0,1606.0
28,EDA,2015,Colorado,Montrose,Region 10 League of Economic Assistance and Planning Inc.,1257800,1017789.0,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,undetermined/not specific,,Broadband Infrastructure Support Project,57905783,1,8085,8085,Montrose County,0.03590464192266692,0.0,0.0,0,0,,Transitional,11.0,24176.0,13.8,124.0,66.7,92.6,1959.0,3.0,17885.0,2213.0,40725.0,5565.0
27,EDA,2017,Colorado,Telluride,Telluride Foundation,760025,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,undetermined/not specific,,,057905877,1,8113,8113,San Miguel County,0.1114281831770621,0.0,0.0,0,1,,Competitive,6.3,56952.0,10.4,88.0,149.4,66.7,346.0,1.0,4550.0,308.0,7840.0,787.0
29,EDA,2018,Colorado,Telluride,Telluride Foundation,844941,,Business Development,,,Technical Assistance;Entrepreneurial Support,,,,,multi-sector,,,"057905900
",1,8113,8113,San Miguel County,0.1114281831770621,0.0,0.0,0,1,,Attainment,5.0,69688.0,11.2,79.7,175.2,72.2,210.0,1.0,4716.0,248.0,7879.0,854.0
25,EDA,2016,Colorado,Silverthorne,Northwest Colorado Council of Governments,100000,80650.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,"056905820

",1,8117,8117,Summit County,0.10777309423447881,0.0,0.0,0,1,,Competitive,6.8,46033.0,13.7,84.1,124.0,89.3,699.0,1.0,15518.0,1138.0,28649.0,3836.0
483,ARC,2016,Washington D.C.,Washington D.C.,Partnership with USDA and EPA,400000,,"Research, Planning, Feasibility Studies",Leadership and community capacity development,,Infrastructure Investment,Investment in Leadership/Community Resources,,Broadband,,undetermined/not specific,,Cool & Connected Initiative,,1,11001,11001,District of Columbia,0.1728802123236107,0.0,0.0,0,1,,Transitional,9.2,66225.0,18.6,112.7,178.4,121.4,1082.0,2.0,328465.0,33113.0,646449.0,109200.0
356,ARC,2017,Washington D.C.,Washington D.C.,American Association of Community Colleges,175000,,Education and Workforce Development,Leadership and community capacity development,,Training Program,Investment in Leadership/Community Resources,,,,multi-sector,,Industry - Informed Infrastructure in Appalachian Colleges,,1,11001,11001,District of Columbia,0.1728802123236107,0.0,0.0,0,1,,Transitional,8.4,60768.0,18.2,117.1,159.4,117.0,1105.0,2.0,340605.0,31384.0,658893.0,109378.0
455,ARC,2019,West Virginia,Washington D.C.,Women’s Institute for a Secure Retirement,80691,,Business Development,,,Entrepreneurial Support;Technical Assistance,,,,,Undefined/nonspecific,,"Benefit U: An Entrepreneur’s Guide to Financial, Health Insurance & Retirement Solutions",,1,11001,11001,District of Columbia,0.1728802123236107,0.0,0.0,0,1,,Transitional,6.9,66428.0,17.9,126.7,163.3,118.7,1121.0,2.0,358987.0,26535.0,681170.0,112060.0
285,ARC,2016,Washington D.C.,Washington D.C.,National Association of Counties Research Foundation,60000,,Leadership and community capacity development,"Research, Planning, Feasibility Studies",,Investment in Leadership/Community Resources,Economic or Business Development Planning,,,,Undefined/nonspecific,,Stronger Economies in Coal-Reliant Places,,1,11001,11001,District of Columbia,0.1728802123236107,0.0,0.0,0,1,,Transitional,9.2,66225.0,18.6,112.7,178.4,121.4,1082.0,2.0,328465.0,33113.0,646449.0,109200.0
354,EDA,2015,Washington D.C.,Washington D.C.,International Economic Development Council Inc.,300000,300000.0,Leadership and community capacity development,,,Investment in Leadership/Community Resources,,,,,undetermined/not specific,,,047907103,1,11001,11001,District of Columbia,0.1728802123236107,0.0,0.0,0,1,,Transitional,9.7,65830.0,18.5,109.1,181.7,124.0,1036.0,2.0,317657.0,34085.0,632323.0,105606.0
355,EDA,2016,Washington D.C.,Washington D.C.,NADO Research Foundation,400000,400000.0,Leadership and community capacity development,,,Investment in Leadership/Community Resources,,,,,undetermined/not specific,,,057905830,1,11001,11001,District of Columbia,0.1728802123236107,0.0,0.0,0,1,,Transitional,9.2,66225.0,18.6,112.7,178.4,121.4,1082.0,2.0,328465.0,33113.0,646449.0,109200.0
32,EDA,2017,Florida,Jacksonville,Northeast Florida Regional Council,150000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,046907234,1,12031,12031,Duval County,0.1081754049403943,0.0,0.0,0,1,,Transitional,7.7,33436.0,17.4,106.7,87.7,111.9,1555.0,2.0,424517.0,35327.0,897698.0,150319.0
33,EDA,2017,Georgia,Eatonton,Eatonton-Putnam Water and Sewer Authority,1116675,,Business Development,,,Infrastructure Investment,,,Water/Wastewater,,manufacturing,,,047907237,1,13237,13237,Putnam County,0.04246394570647563,0.0,0.0,0,1,,Transitional,10.4,24566.0,14.2,143.9,64.4,91.0,2133.0,3.0,7328.0,847.0,21192.0,2980.0
34,EDA,2015,Illinois,Chicago,Chicago Transit Authority,200000,200000.0,"Research, Planning, Feasibility Studies",,,Infrastructure Investment,,,Transportation/Transit Infrastructure,Building Construction/Renovation,undetermined/not specific,,Fisk Power Plant Redevelopment Plan,066906018,1,17031,17031,Cook County,-0.008555299417191643,0.0,0.0,0,1,,Transitional,10.1,41401.0,16.4,113.9,114.3,110.2,1325.0,2.0,2330889.0,262464.0,5231351.0,839805.0
37,EDA,2020,Indiana,Vincennes,City of Vincennes,732080,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,undetermined/not specific,,,067906207,1,18083,18083,Knox County,-0.048022892819979186,-0.0692410119840213,-0.0692410119840213,0,0,,Transitional,4.1,30740.0,15.6,85.5,71.7,107.2,1357.0,2.0,18128.0,781.0,37508.0,5512.0
41,ARC,2018,Indiana,Indianapolis,"Chamberlin Dunn, LLC",184595,,"Research, Planning, Feasibility Studies",,,OTHER,,,,,Undefined/nonspecific,,POWER Monitoring and Evaluation,ARC18C19412,1,18097,18097,Marion County,0.06773242652976058,0.0,0.0,0,1,,Transitional,6.7,39113.0,21.1,106.1,98.3,136.3,1603.0,3.0,437030.0,31133.0,939020.0,191309.0
35,EDA,2016,Indiana,Indianapolis,Citizens Energy Group,375000,367459.0,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,066906053,1,18097,18097,Marion County,0.06773242652976058,0.0,0.0,0,1,,Transitional,8.5,32239.0,20.4,104.2,86.8,132.9,1827.0,3.0,425540.0,39379.0,928281.0,182506.0
482,ARC,2019,Indiana,Indianapolis,"Chamberlin Dunn, LLC",199665,,"Research, Planning, Feasibility Studies",,,OTHER,,,,,undetermined/not specific,,POWER Monitoring and Evaluation,,1,18097,18097,Marion County,0.06773242652976058,0.0,0.0,0,1,,Transitional,5.3,39788.0,20.5,98.1,97.8,136.0,1450.0,2.0,449556.0,25309.0,941229.0,187586.0
36,EDA,2017,Indiana,Tell City, Perry County Port Authority,2037600,,Business Development,,,Infrastructure Investment,,,Transportation/Transit Infrastructure,,metals and transportation,,,067906091,1,18123,18123,Perry County,-0.008739269831420001,0.0,0.0,0,1,,Transitional,7.3,25619.0,12.7,101.5,67.2,81.4,1547.0,2.0,8307.0,655.0,19454.0,2241.0
39,EDA,2017,Indiana,Petersburg,"Pike County Progress Partners, Inc",787500,,Business Development,Education and Workforce Development,,Infrastructure Investment,Infrastructure Investment,,Building Construction/Renovation,,Manufacturing,,,067906087,1,18125,18125,Pike County,-0.035500194628260026,-0.6987740805604203,-0.6987740805604203,0,0,,Transitional,6.4,27515.0,11.7,89.1,72.2,74.9,1178.0,2.0,5880.0,403.0,12624.0,1458.0
40,EDA,2019,Indiana,Petersburg,"Pike County Progress Partners, Inc",2060000,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,undetermined/not specific,,,067906145,1,18125,18125,Pike County,-0.035500194628260026,-0.6987740805604203,-0.6987740805604203,0,0,,Transitional,4.6,26545.0,10.1,84.7,65.3,66.8,1102.0,2.0,5992.0,289.0,12431.0,1244.0
38,EDA,2020,Indiana,Petersburg,Petersburg Water Company ,4190518,,Economic Asset Development,,,Infrastructure Investment,,,Water/Wastewater,,undetermined/not specific,,,"067906190

",1,18125,18125,Pike County,-0.035500194628260026,-0.6987740805604203,-0.6987740805604203,0,0,,Transitional,4.0,28679.0,10.6,82.8,66.9,73.0,1068.0,2.0,6078.0,253.0,12365.0,1300.0
114,EDA,2018,Kentucky,Jackson,City of Jackson,1156419,,Business Development,Health,,Infrastructure Investment,Infrastructure Investment,,Water/Wastewater,,undetermined/not specific,,,047907258,1,21025,21025,Breathitt County,-0.08992650237786425,-0.7193877551020408,-0.7193877551020408,0,0,ARC,Distressed,12.1,13978.0,32.9,193.2,35.1,212.4,3087.0,4.0,3694.0,509.0,13484.0,4366.0
78,ARC,2017,Kentucky,Jackson,Hazard Community and Technical College,1500000,,Education and Workforce Development,,,Infrastructure Investment,,,,,Multi-sector/multi-career prep,,Intergenerational Training Center,,1,21025,21025,Breathitt County,-0.08992650237786425,-0.7193877551020408,-0.7193877551020408,0,0,ARC,Distressed,13.7,14386.0,31.5,189.9,37.7,202.3,3085.0,4.0,3797.0,602.0,13409.0,4199.0
111,EDA,2018,Kentucky,Grayson,FIVCO Area Development district,50000,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,undetermined/not specific,,,046907301,1,21043,21043,Carter County,-0.0332972582972583,0.0,0.0,0,1,ARC,Distressed,11.2,18557.0,17.6,178.7,46.7,114.0,2846.0,4.0,9368.0,1182.0,27158.0,4682.0
105,ARC,2020,Kentucky,Albany,"Foothills Academy, Inc.",1500000,,Education and Workforce Development,Leadership and community capacity development,Health,Infrastructure Investment,Investment in Community Public Services,Infrastructure Investment,Building Construction/Renovation,,"health, social services",,Foothills Independent Transitional Living Center (FIT),,1,21053,21053,Clinton County,-0.005257009345794392,0.0,0.0,0,1,ARC,Distressed,7.4,16485.0,20.0,153.5,38.5,137.5,2940.0,4.0,3553.0,285.0,10276.0,2016.0
50,EDA,2019,Kentucky,Irvine,Estill County Board of Education,4000000,,Education and Workforce Development,,,Infrastructure Investment,,,Building Construction/Renovation,,multi-sector,,,"047907385

",1,21065,21065,Estill County,-0.038576881134133045,0.9999999,0.9999999,1,0,ARC,Distressed,6.4,17959.0,30.3,118.5,44.1,200.6,2936.0,4.0,4983.0,343.0,14307.0,4326.0
47,EDA,2019,Kentucky,Lexington,Community Ventures Corporation,986186,,Business Development,,,Infrastructure Investment,,,Building Construction/Renovation,,Tourism? Not sure...kitchen-incubator...,,,047907395,1,21067,21067,Fayette County,0.09245680402159545,0.0,0.0,0,1,,Transitional,4.0,37985.0,18.9,74.5,93.4,125.3,1125.0,2.0,160169.0,6755.0,318449.0,56444.0
71,ARC,2016,Kentucky,Lexington,University of Kentucky Research Foundation,1464251,,"Research, Planning, Feasibility Studies",Economic Asset Development,Leadership and community capacity development,Economic or Business Development Planning,Infrastructure Investment,Investment in Leadership/Community Resources,Downtown Revitalization,,Undefined/nonspecific,,Downtown Revitalization in the Promise Zone,,1,21067,21067,Fayette County,0.09245680402159545,0.0,0.0,0,1,,Transitional,6.8,35835.0,18.9,83.4,96.5,123.0,1330.0,2.0,145321.0,10567.0,308428.0,54459.0
75,ARC,2017,Kentucky,Lexington,Community Ventures Corporation,1000000,,Education and Workforce Development,,,Access to Capital;Infrastructure Investment,,,,,"Health, social services",,Community Ventures -- Build Appalachia Loan Fund,,1,21067,21067,Fayette County,0.09245680402159545,0.0,0.0,0,1,,Transitional,5.5,37161.0,19.3,76.4,97.5,123.8,1181.0,2.0,157977.0,9196.0,310797.0,56186.0
100,ARC,2019,Kentucky,Lexington,The Fletcher Group,1677529,,Health,Education and Workforce Development,,Substance Abuse Program,Training Program,,,,Undefined/nonspecific,,"Recovery, Hope, Opportunity and Resiliency (RHOAR)",,1,21067,21067,Fayette County,0.09245680402159545,0.0,0.0,0,1,,Transitional,4.0,37985.0,18.9,74.5,93.4,125.3,1125.0,2.0,160169.0,6755.0,318449.0,56444.0
104,ARC,2019,Kentucky,Prestonsburg,Mountain Comprehensive Care Center,1500000,,Health,,,Infrastructure Investment,,,Building Construction/Renovation,,Undefined/nonspecific,,Big Sandy Healthy Workforce,ARC19C19732,1,21071,21071,Floyd County,-0.09789358951610859,-0.3346508563899868,-0.3346508563899868,0,0,ARC,Distressed,10.1,17751.0,30.7,185.9,43.6,203.2,3047.0,4.0,10770.0,1210.0,37110.0,11532.0
73,ARC,2017,Kentucky,Prestonsburg,Big Sandy Community and Technical College,3500000,,Education and Workforce Development,Business Development,,Training Program,Entrepreneurial Support,,,,multi-sector (digital workforce),,Eastern Kentucky Coal County Transformation,KY-18297,1,21071,21071,Floyd County,-0.09789358951610859,-0.3346508563899868,-0.3346508563899868,0,0,ARC,Distressed,11.7,18473.0,29.5,162.5,48.5,189.5,3015.0,4.0,11564.0,1533.0,38108.0,11342.0
53,EDA,2015,Kentucky,Prestonsburg, Big Sandy Area Development District,274500,264467.0,Leadership and community capacity development,"Research, Planning, Feasibility Studies",,Investment in Leadership/Community Resources,Economic or Business Development Planning,,,,undetermined/not specific,,Economic Recovery Coordination,048607119,1,21071,21071,Floyd County,-0.09789358951610859,-0.3346508563899868,-0.3346508563899868,0,0,ARC,Distressed,10.9,19740.0,28.1,122.8,54.5,189.1,2892.0,4.0,13569.0,1661.0,38949.0,10861.0
59,EDA,2015,Kentucky,Frankfort,Kentucky Cabinet for Finance and Administration,1000000,756243.0,Education and Workforce Development,Business Development,,Training Program;Infrastructure Investment,Technical Assistance,,Equipment and Materials,,multi-sector,,Unleashing the POWER of the I-Way!,047907110,1,21073,21073,Franklin County,0.03461499442020899,0.0,0.0,0,1,,Transitional,7.8,29520.0,14.9,87.8,81.5,100.3,1317.0,2.0,22774.0,1927.0,49804.0,7098.0
62,ETA,2015,Kentucky,Frankfort,Kentucky education and workforce development cabinet,1098800,1098800.0,Education and Workforce Development,,,Training Program,,,,,multi-sector,,Layoff KY-21 POWER,EM280961660A21,1,21073,21073,Franklin County,0.03461499442020899,0.0,0.0,0,1,,Transitional,7.8,29520.0,14.9,87.8,81.5,100.3,1317.0,2.0,22774.0,1927.0,49804.0,7098.0
63,ETA,2017,Kentucky,Frankfort,Kentucky education and workforce development cabinet,3853620,3853620.0,Education and Workforce Development,,,Training Program,,,,,multi-sector,,Layoff KY-21 POWER,EM280961660A21,1,21073,21073,Franklin County,0.03461499442020899,0.0,0.0,0,1,,Transitional,6.2,27428.0,15.1,86.3,72.0,96.9,1428.0,2.0,22897.0,1518.0,49880.0,7175.0
61,ETA,2016,Kentucky,Frankfort,Kentucky education and workforce development cabinet,1091153,158045.0,Education and Workforce Development,,,Training Program,,,,,undetermined/not specific,,KY-REGULAR-WKY POWER DWG,EM302861760A21,1,21073,21073,Franklin County,0.03461499442020899,0.0,0.0,0,1,,Transitional,7.2,29961.0,16.6,88.9,80.7,108.2,1465.0,2.0,22931.0,1785.0,49648.0,7884.0
